"기관명","홈페이지주소","오픈일자"
"전라남도교육청","http://www.jne.go.kr","2008-12-29"
"국방부 해군 해병대사령부","http://www.rokmc.mil.kr","2008-12-29"
"국방부 국립서울현충원","http://www.snmb.mil.kr","2008-12-29"
"경상남도교육청 경상남도거제교육청","http://www.gngje.go.kr","2008-12-29"
"울산광역시지방경찰청","http://www.uspolice.go.kr","2008-12-29"
"경북지방경찰청","http://www.gbpolice.go.kr","2008-12-29"
"문화체육관광부 국립중앙박물관 공주박물관 기획운영과","http://gongju.museum.go.kr","2008-12-29"
"경상남도밀양교육청","http://www.gnmye.go.kr","2008-12-29"
"충청북도교육청 충청북도영동교육청 교육과","http://www.cbyde.go.kr","2008-12-29"
"경상북도 영덕군","http://www.yd.go.kr","2008-12-29"
"국립중앙박물관","http://www.museum.go.kr","2008-12-29"
"경상남도","http://www.gyeongnam.go.kr","2008-12-29"
"경기도 구리시","http://www.guri.go.kr","2008-12-30"
"국방부 해군","http://www.navy.ac.kr","2008-12-30"
"광주광역시 동구","https://www.donggu.kr","2008-12-30"
"대구광역시교육청 대구광역시교육과학연구원 과학탐구부","http://www.dise.go.kr","2008-12-30"
"경기도 광주시","http://www.gjcity.go.kr","2008-12-30"
"서울특별시교육청 서울특별시성동교육청 관리국 관리과","http://test.sensd.go.kr","2008-12-30"
"경상남도 통영시","http://www.tongyeong.go.kr","2008-12-30"
"충청북도교육청 충청북도제천교육청 교육과","http://www.cbjche.go.kr","2008-12-30"
"인천광역시 강화군","http://www.ganghwa.go.kr","2008-12-30"
"인천광역시 계양구","http://www.gyeyang.go.kr","2008-12-30"
"서울특별시","https://www.seoul.go.kr","2008-12-31"
"울산광역시","http://www.ulsan.go.kr","2009-01-01"
"대구서구청","http://www.dgs.kr","2009-01-08"
"국토해양부 대변인 홍보담당관","http://prao.molit.go.kr","2009-01-08"
"충남지방경찰청","http://minwon.cnpolice.go.kr","2009-01-09"
"전북지방경찰청 고창경찰서","http://gc.jbpolice.go.kr","2009-01-09"
"전북지방경찰청 김제경찰서","http://gj.jbpolice.go.kr","2009-01-09"
"전북지방경찰청 정읍경찰서","http://je.jbpolice.go.kr","2009-01-09"
"전북지방경찰청 군산경찰서","http://gs.jbpolice.go.kr","2009-01-09"
"부산광역시 영도구","http://www.yeongdo.go.kr","2009-01-09"
"경찰청 대구광역시지방경찰청","http://www.dgpolice.go.kr","2009-01-09"
"경찰청 전라남도지방경찰청 경무과","http://www.jnpolice.go.kr","2009-01-09"
"전북지방경찰청","http://www.jbpolice.go.kr","2009-01-09"
"충청북도 영동군청","http://town.yd21.go.kr","2009-01-09"
"충청북도 영동군청","http://www.nogunri.net","2009-01-09"
"충청북도 영동군청","http://tour.yd21.go.kr","2009-01-09"
"충청북도 영동군","http://www.yd21.go.kr","2009-01-09"
"경북지방경찰청 봉화경찰서","http://bh.gbpolice.go.kr","2009-01-09"
"경북지방경찰청 영주경찰서","http://yj.gbpolice.go.kr","2009-01-09"
"경북지방경찰청 김천경찰서","http://gc.gbpolice.go.kr","2009-01-09"
"경북지방경찰청 경산경찰서","http://gs.gbpolice.go.kr","2009-01-09"
"경북지방경찰청 구미경찰서","http://gm.gbpolice.go.kr","2009-01-09"
"경북지방경찰청 포항남부경찰서","http://phnb.gbpolice.go.kr","2009-01-09"
"충청북도 옥천군","http://www.oc.go.kr","2009-01-09"
"경상북도 예천군","http://www.ycg.kr","2009-01-09"
"대구광역시","http://www.meditour.go.kr","2009-01-09"
"교육과학기술부 충청남도교육청","http://www.cne.go.kr","2009-01-09"
"안동시청","http://www.tcc-museum.go.kr","2009-01-09"
"전라남도 장흥군","http://www.jangheung.go.kr","2009-01-09"
"경찰청 경상북도지방경찰청 경무과","http://dokdo.gbpolice.go.kr","2009-01-13"
"경북지방경찰청 군위경찰서","http://gw.gbpolice.go.kr","2009-01-13"
"경북지방경찰청 성주경찰서","http://sj.gbpolice.go.kr","2009-01-13"
"국립부여박물관","http://buyeo.museum.go.kr","2009-01-13"
"강원도 삼척시","http://www.samcheok.go.kr","2009-01-14"
"서울특별시 강동구","http://www.gangdong.go.kr","2009-01-14"
"서울특별시교육청","http://www.sen.go.kr","2009-01-14"
"강원도 횡성군","http://www.hsg.go.kr","2009-01-14"
"전라북도 군산시","http://www.gunsan.go.kr","2009-01-14"
"경상북도 의성군","http://www.usc.go.kr","2009-01-14"
"경북지방경찰청 울릉경찰서 홈페이지","http://ul.gbpolice.go.kr","2009-01-16"
"경북지방경찰청 영양경찰서","http://yy.gbpolice.go.kr","2009-01-16"
"경북지방경찰청 울진경찰서","http://uj.gbpolice.go.kr","2009-01-16"
"경북지방경찰청 의성경찰서","http://us.gbpolice.go.kr","2009-01-16"
"경북지방경찰청 칠곡경찰서","http://cg.gbpolice.go.kr","2009-01-16"
"경북지방경찰청 문경경찰서","http://mg.gbpolice.go.kr","2009-01-16"
"경북지방경찰청 상주경찰서","http://sangju.gbpolice.go.kr","2009-01-16"
"경북지방경찰청 영천경찰서","http://yc.gbpolice.go.kr","2009-01-16"
"경북지방경찰청 안동경찰서","http://ad.gbpolice.go.kr","2009-01-16"
"경북지방경찰청 포항북부경찰서","http://phbb.gbpolice.go.kr","2009-01-16"
"경상남도 사천시","http://www.sacheon.go.kr","2009-01-16"
"경상북도 청도군","http://www.cheongdo.go.kr","2009-01-20"
"전라남도교육청 전라남도함평교육청 교육과","http://www.hped.go.kr","2009-01-20"
"경기도 부천시","http://www.bucheon.go.kr","2009-01-21"
"포항교육청","http://www.pohang-e.go.kr","2009-01-21"
