,기관명,홈페이지주소,오픈일자,오픈연도
81,부산광역시 사하구,http://saha.go.kr,2008-12-18,2008 연도
82,경상북도교육청 경상북도구미교육청 관리과,http://www.kbgmed.go.kr,2008-12-19,2008 연도
83,충청남도의회,http://council.chungnam.go.kr,2008-12-22,2008 연도
84,경기도 하남시,http://www.hanam.go.kr,2008-12-22,2008 연도
85,충청북도 증평군,http://jp.go.kr,2008-12-22,2008 연도
86,충청남도 청양군,http://health.cheongyang.go.kr,2008-12-22,2008 연도
87,충청남도 청양군,http://media.cheongyang.go.kr,2008-12-22,2008 연도
88,충청남도 청양군,http://tour.cheongyang.go.kr,2008-12-22,2008 연도
89,경상남도 거창군,http://www.geochang.go.kr,2008-12-22,2008 연도
90,전라북도 전략산업국 미래산업과,http://www.koreamusic.org,2008-12-23,2008 연도
91,전라북도,http://jbfood.go.kr,2008-12-23,2008 연도
92,울산광역시교육청,http://www.use.go.kr,2008-12-23,2008 연도
93,해군 군수사령부,http://www.navylogicom.mil.kr,2008-12-29,2008 연도
94,서울특별시북부교육청,http://www.ben.go.kr,2008-12-29,2008 연도
95,경상남도 의령군,http://www.uiryeong.go.kr,2008-12-29,2008 연도
96,전라남도교육청,http://www.jne.go.kr,2008-12-29,2008 연도
97,국방부 해군 해병대사령부,http://www.rokmc.mil.kr,2008-12-29,2008 연도
98,국방부 국립서울현충원,http://www.snmb.mil.kr,2008-12-29,2008 연도
99,경상남도교육청 경상남도거제교육청,http://www.gngje.go.kr,2008-12-29,2008 연도
100,울산광역시지방경찰청,http://www.uspolice.go.kr,2008-12-29,2008 연도
101,경북지방경찰청,http://www.gbpolice.go.kr,2008-12-29,2008 연도
102,문화체육관광부 국립중앙박물관 공주박물관 기획운영과,http://gongju.museum.go.kr,2008-12-29,2008 연도
103,경상남도밀양교육청,http://www.gnmye.go.kr,2008-12-29,2008 연도
104,충청북도교육청 충청북도영동교육청 교육과,http://www.cbyde.go.kr,2008-12-29,2008 연도
105,경상북도 영덕군,http://www.yd.go.kr,2008-12-29,2008 연도
106,국립중앙박물관,http://www.museum.go.kr,2008-12-29,2008 연도
107,경상남도,http://www.gyeongnam.go.kr,2008-12-29,2008 연도
108,경기도 구리시,http://www.guri.go.kr,2008-12-30,2008 연도
109,국방부 해군,http://www.navy.ac.kr,2008-12-30,2008 연도
110,광주광역시 동구,https://www.donggu.kr,2008-12-30,2008 연도
111,대구광역시교육청 대구광역시교육과학연구원 과학탐구부,http://www.dise.go.kr,2008-12-30,2008 연도
112,경기도 광주시,http://www.gjcity.go.kr,2008-12-30,2008 연도
113,서울특별시교육청 서울특별시성동교육청 관리국 관리과,http://test.sensd.go.kr,2008-12-30,2008 연도
114,경상남도 통영시,http://www.tongyeong.go.kr,2008-12-30,2008 연도
115,충청북도교육청 충청북도제천교육청 교육과,http://www.cbjche.go.kr,2008-12-30,2008 연도
116,인천광역시 강화군,http://www.ganghwa.go.kr,2008-12-30,2008 연도
117,인천광역시 계양구,http://www.gyeyang.go.kr,2008-12-30,2008 연도
118,서울특별시,https://www.seoul.go.kr,2008-12-31,2008 연도
119,울산광역시,http://www.ulsan.go.kr,2009-01-01,2009 연도
120,대구서구청,http://www.dgs.kr,2009-01-08,2009 연도
121,국토해양부 대변인 홍보담당관,http://prao.molit.go.kr,2009-01-08,2009 연도
122,충남지방경찰청,http://minwon.cnpolice.go.kr,2009-01-09,2009 연도
123,전북지방경찰청 고창경찰서,http://gc.jbpolice.go.kr,2009-01-09,2009 연도
124,전북지방경찰청 김제경찰서,http://gj.jbpolice.go.kr,2009-01-09,2009 연도
125,전북지방경찰청 정읍경찰서,http://je.jbpolice.go.kr,2009-01-09,2009 연도
126,전북지방경찰청 군산경찰서,http://gs.jbpolice.go.kr,2009-01-09,2009 연도
127,부산광역시 영도구,http://www.yeongdo.go.kr,2009-01-09,2009 연도
128,경찰청 대구광역시지방경찰청,http://www.dgpolice.go.kr,2009-01-09,2009 연도
129,경찰청 전라남도지방경찰청 경무과,http://www.jnpolice.go.kr,2009-01-09,2009 연도
130,전북지방경찰청,http://www.jbpolice.go.kr,2009-01-09,2009 연도
131,충청북도 영동군청,http://town.yd21.go.kr,2009-01-09,2009 연도
132,충청북도 영동군청,http://www.nogunri.net,2009-01-09,2009 연도
133,충청북도 영동군청,http://tour.yd21.go.kr,2009-01-09,2009 연도
134,충청북도 영동군,http://www.yd21.go.kr,2009-01-09,2009 연도
135,경북지방경찰청 봉화경찰서,http://bh.gbpolice.go.kr,2009-01-09,2009 연도
136,경북지방경찰청 영주경찰서,http://yj.gbpolice.go.kr,2009-01-09,2009 연도
137,경북지방경찰청 김천경찰서,http://gc.gbpolice.go.kr,2009-01-09,2009 연도
138,경북지방경찰청 경산경찰서,http://gs.gbpolice.go.kr,2009-01-09,2009 연도
139,경북지방경찰청 구미경찰서,http://gm.gbpolice.go.kr,2009-01-09,2009 연도
140,경북지방경찰청 포항남부경찰서,http://phnb.gbpolice.go.kr,2009-01-09,2009 연도
141,충청북도 옥천군,http://www.oc.go.kr,2009-01-09,2009 연도
142,경상북도 예천군,http://www.ycg.kr,2009-01-09,2009 연도
143,대구광역시,http://www.meditour.go.kr,2009-01-09,2009 연도
144,교육과학기술부 충청남도교육청,http://www.cne.go.kr,2009-01-09,2009 연도
145,안동시청,http://www.tcc-museum.go.kr,2009-01-09,2009 연도
146,전라남도 장흥군,http://www.jangheung.go.kr,2009-01-09,2009 연도
147,경찰청 경상북도지방경찰청 경무과,http://dokdo.gbpolice.go.kr,2009-01-13,2009 연도
148,경북지방경찰청 군위경찰서,http://gw.gbpolice.go.kr,2009-01-13,2009 연도
149,경북지방경찰청 성주경찰서,http://sj.gbpolice.go.kr,2009-01-13,2009 연도
150,국립부여박물관,http://buyeo.museum.go.kr,2009-01-13,2009 연도
151,강원도 삼척시,http://www.samcheok.go.kr,2009-01-14,2009 연도
152,서울특별시 강동구,http://www.gangdong.go.kr,2009-01-14,2009 연도
153,서울특별시교육청,http://www.sen.go.kr,2009-01-14,2009 연도
154,강원도 횡성군,http://www.hsg.go.kr,2009-01-14,2009 연도
155,전라북도 군산시,http://www.gunsan.go.kr,2009-01-14,2009 연도
156,경상북도 의성군,http://www.usc.go.kr,2009-01-14,2009 연도
157,경북지방경찰청 울릉경찰서 홈페이지,http://ul.gbpolice.go.kr,2009-01-16,2009 연도
158,경북지방경찰청 영양경찰서,http://yy.gbpolice.go.kr,2009-01-16,2009 연도
159,경북지방경찰청 울진경찰서,http://uj.gbpolice.go.kr,2009-01-16,2009 연도
160,경북지방경찰청 의성경찰서,http://us.gbpolice.go.kr,2009-01-16,2009 연도
161,경북지방경찰청 칠곡경찰서,http://cg.gbpolice.go.kr,2009-01-16,2009 연도
162,경북지방경찰청 문경경찰서,http://mg.gbpolice.go.kr,2009-01-16,2009 연도
163,경북지방경찰청 상주경찰서,http://sangju.gbpolice.go.kr,2009-01-16,2009 연도
164,경북지방경찰청 영천경찰서,http://yc.gbpolice.go.kr,2009-01-16,2009 연도
165,경북지방경찰청 안동경찰서,http://ad.gbpolice.go.kr,2009-01-16,2009 연도
166,경북지방경찰청 포항북부경찰서,http://phbb.gbpolice.go.kr,2009-01-16,2009 연도
167,경상남도 사천시,http://www.sacheon.go.kr,2009-01-16,2009 연도
168,경상북도 청도군,http://www.cheongdo.go.kr,2009-01-20,2009 연도
169,전라남도교육청 전라남도함평교육청 교육과,http://www.hped.go.kr,2009-01-20,2009 연도
170,경기도 부천시,http://www.bucheon.go.kr,2009-01-21,2009 연도
171,포항교육청,http://www.pohang-e.go.kr,2009-01-21,2009 연도
172,전라남도신안교육청,http://www.jnsaed.go.kr,2009-01-22,2009 연도
173,강원도 인제군청,http://www.injecl.go.kr,2009-01-22,2009 연도
174,전라남도 보성교육청,http://www.jnbse.go.kr,2009-01-22,2009 연도
175,경상북도 예천군 행정지원과,http://en.ycg.kr,2009-01-22,2009 연도
176,광주광역시 서구 의회사무국,http://gjsc.or.kr,2009-01-22,2009 연도
177,서울특별시교육청 총무과,http://girok.sen.go.kr,2009-01-22,2009 연도
178,전라남도완도군의회,http://www.wdcc.or.kr,2009-01-22,2009 연도
179,제주특별자치도 제주시 자치행정국 정보화지원과,http://www.jejusi.go.kr,2009-01-22,2009 연도
180,경상남도 남해군,http://www.knhc.net,2009-01-22,2009 연도
181,충청북도 단양군,http://www.dy21.net,2009-01-22,2009 연도
182,경기도 연천군,http://www.yeoncheon.go.kr,2009-01-22,2009 연도
183,충청북도 진천군,http://www.jincheon.go.kr,2009-01-22,2009 연도
184,국무조정실 조세심판원,http://www.tt.go.kr,2009-01-22,2009 연도
185,충청남도교육청,http://archive.cne.go.kr,2009-01-22,2009 연도
186,국가보훈처,http://www.icnc.go.kr,2009-01-22,2009 연도
187,국가보훈처,http://www.isnc.go.kr,2009-01-22,2009 연도
188,국가보훈처,http://www.ycnc.go.kr,2009-01-22,2009 연도
189,국가보훈처,http://518.mpva.go.kr,2009-01-22,2009 연도
190,국가보훈처,http://315.mpva.go.kr,2009-01-22,2009 연도
191,국가보훈처,http://419.mpva.go.kr,2009-01-22,2009 연도
192,광주광역시 서구,http://www.seogu.gwangju.kr,2009-01-22,2009 연도
193,전라남도 소방본부 소방행정과,http://www.jnsobang.go.kr,2009-01-22,2009 연도
194,경기도 수원시 권선구 총무과,http://ksun.suwon.go.kr,2009-01-22,2009 연도
195,경찰청 서울특별시지방경찰청 서울중랑경찰서 경비교통과,http://www.policemuseum.go.kr,2009-01-22,2009 연도
196,전라북도교육청 교육국 과학정보교육과,http://www.jbe.go.kr,2009-01-22,2009 연도
197,경상북도 청송군,http://www.cs.go.kr,2009-01-22,2009 연도
198,대구광역시서부교육청,http://www.dgsbe.go.kr,2009-01-22,2009 연도
199,부산광역시 상수도사업본부,http://water.busan.go.kr,2009-01-22,2009 연도
200,부산광역시 강서구,http://www.bsgangseo.go.kr,2009-01-22,2009 연도
201,부산광역시남부교육청,http://nambu.pen.go.kr,2009-01-22,2009 연도
202,충청북도교육청 충청북도단양교육청 교육과,http://www.cbdye.go.kr,2009-01-22,2009 연도
203,부산광역시 동래구,http://www.dongnae.go.kr,2009-01-22,2009 연도
204,대전광역시 대덕구,http://www.daedeok.go.kr,2009-01-22,2009 연도
205,경북지방경찰청 고령경찰서,http://gr.gbpolice.go.kr,2009-01-22,2009 연도
206,경북지방경찰청 청송경찰서,http://cs.gbpolice.go.kr,2009-01-22,2009 연도
