시군명,읍면동명,등록동물수(마리),(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록소유자수,데이터기준일자,,,,
구리시,수택동,3622,2013,1345,264,2617,2022-05-25,,,,
구리시,아천동,162,77,71,14,119,2022-05-25,,,,
구리시,인창동,3463,1802,1365,296,2687,2022-05-25,,,,
구리시,토평동,836,418,363,55,658,2022-05-25,,,,
군포시,금정동,3461,2152,941,368,2663,2022-09-30,,,,
군포시,당동,3434,2077,895,462,2689,2022-09-30,,,,
군포시,당정동,875,486,279,110,680,2022-09-30,,,,
군포시,대야미동,518,287,166,65,407,2022-09-30,,,,
군포시,도마교동,422,227,150,45,336,2022-09-30,,,,
군포시,둔대동,24,11,10,3,15,2022-09-30,,,,
군포시,부곡동,846,424,311,111,677,2022-09-30,,,,
군포시,산본동,6572,3826,2046,700,5285,2022-09-30,,,,
군포시,속달동,35,15,14,6,23,2022-09-30,,,,
김포시,감정동,381,212,152,17,322,2020-03-11,,,,
김포시,걸포동,118,67,37,14,89,2020-03-11,,,,
김포시,고촌읍,446,254,146,46,375,2020-03-11,,,,
김포시,구래동,790,376,343,71,652,2020-03-11,,,,
김포시,대곶면,252,119,97,36,148,2020-03-11,,,,
김포시,마산동,531,278,210,43,443,2020-03-11,,,,
김포시,북변동,342,166,153,23,280,2020-03-11,,,,
김포시,사우동,441,216,174,51,358,2020-03-11,,,,
김포시,양촌읍,566,246,250,70,433,2020-03-11,,,,
김포시,운양동,842,443,321,78,700,2020-03-11,,,,
김포시,월곶면,116,45,29,42,81,2020-03-11,,,,
김포시,장기동,1311,666,572,73,1119,2020-03-11,,,,
김포시,통진읍,593,325,203,65,434,2020-03-11,,,,
김포시,풍무동,1018,492,439,87,853,2020-03-11,,,,
김포시,하성면,165,77,54,34,101,2020-03-11,,,,
남양주시,금곡동,1386,843,380,163,1056,2022-11-10,,,,
남양주시,다산1동,4327,2411,1064,852,3413,2022-11-10,,,,
남양주시,다산2동,452,198,124,130,353,2022-11-10,,,,
남양주시,별내동,4171,2231,1563,377,3152,2022-11-10,,,,
남양주시,별내면,999,494,295,210,767,2022-11-10,,,,
남양주시,수동면,860,539,130,191,434,2022-11-10,,,,
남양주시,양정동,331,179,85,67,191,2022-11-10,,,,
남양주시,오남읍,4136,3077,742,317,3082,2022-11-10,,,,
남양주시,와부읍,4116,2754,887,475,3075,2022-11-10,,,,
남양주시,조안면,267,167,49,51,166,2022-11-10,,,,
남양주시,진건읍,1514,1042,254,218,1112,2022-11-10,,,,
남양주시,진접읍,5655,3591,1460,604,4148,2022-11-10,,,,
남양주시,퇴계원읍,1497,1087,310,100,1130,2022-11-10,,,,
남양주시,평내동,2556,1747,596,213,1984,2022-11-10,,,,
남양주시,호평동,3051,1935,680,436,2332,2022-11-10,,,,
남양주시,화도읍,7639,4945,1428,1266,5147,2022-11-10,,,,
동두천시,걸산동,6,3,3,0,4,2022-03-17,,,,
동두천시,광암동,127,61,61,5,70,2022-03-17,,,,
동두천시,동두천동,423,215,189,19,268,2022-03-17,,,,
동두천시,보산동,260,168,80,12,156,2022-03-17,,,,
동두천시,상봉암동,186,89,80,17,110,2022-03-17,,,,
동두천시,상패동,398,170,198,30,238,2022-03-17,,,,
동두천시,생연동,2860,1485,1221,154,1950,2022-03-17,,,,
동두천시,송내동,803,377,370,56,575,2022-03-17,,,,
동두천시,안흥동,76,29,47,0,29,2022-03-17,,,,
동두천시,지행동,1716,808,791,117,1338,2022-03-17,,,,
